combo,seed,ja4_full,ja4_a,ja4_b,ja4_c,ja4_a_changed,ja4_b_changed,ja4_c_changed,cipher_count,ext_count,sigalg_count,tls_handshake_ok
Permute,5,t13d1716h2_5b57614c22b0_5f936c3750cd,t13d1716h2,5b57614c22b0,5f936c3750cd,False,False,True,17,16,9,True
Permute,6,t13d1716h2_5b57614c22b0_54810cdcaffc,t13d1716h2,5b57614c22b0,54810cdcaffc,False,False,True,17,16,9,True
Permute,7,t13d1716h2_5b57614c22b0_a49141f0d18f,t13d1716h2,5b57614c22b0,a49141f0d18f,False,False,True,17,16,9,True
Permute,8,t13d1716h2_5b57614c22b0_541204b930e8,t13d1716h2,5b57614c22b0,541204b930e8,False,False,True,17,16,9,True
Permute,9,t13d1716h2_5b57614c22b0_200b173574ae,t13d1716h2,5b57614c22b0,200b173574ae,False,False,True,17,16,9,True
Permute,10,t13d1716h2_5b57614c22b0_447c6f573a27,t13d1716h2,5b57614c22b0,447c6f573a27,False,False,True,17,16,9,True
Permute,11,t13d1716h2_5b57614c22b0_fe47731571cf,t13d1716h2,5b57614c22b0,fe47731571cf,False,False,True,17,16,9,True
Permute,12,t13d1716h2_5b57614c22b0_a63e4200e948,t13d1716h2,5b57614c22b0,a63e4200e948,False,False,True,17,16,9,True
Permute,13,t13d1716h2_5b57614c22b0_16f0cbe1fb2f,t13d1716h2,5b57614c22b0,16f0cbe1fb2f,False,False,True,17,16,9,True
Permute,14,t13d1716h2_5b57614c22b0_5ab3ffa2c48c,t13d1716h2,5b57614c22b0,5ab3ffa2c48c,False,False,True,17,16,9,True
DropAggressive,0,t13d1615h2_8939ad70e456_2f32f9503029,t13d1615h2,8939ad70e456,2f32f9503029,True,True,True,16,14,6,True
DropAggressive,1,t13d1415h2_ffc397562e75_ef59751c4fc6,t13d1415h2,ffc397562e75,ef59751c4fc6,True,True,True,14,15,6,True
DropAggressive,2,t13d1615h2_4614cd369af6_75fcc98cf40f,t13d1615h2,4614cd369af6,75fcc98cf40f,True,True,True,16,15,6,True
DropAggressive,3,t13d1414h2_8a6d46eafb97_3df2d900e497,t13d1414h2,8a6d46eafb97,3df2d900e497,True,True,True,14,13,7,True
DropAggressive,4,t13d1614h2_80b4664a28e5_747959d99cb2,t13d1614h2,80b4664a28e5,747959d99cb2,True,True,True,16,14,6,True
DropAggressive,5,t13d1615h2_e779b0027467_9858999ac6cc,t13d1615h2,e779b0027467,9858999ac6cc,True,True,True,16,15,6,True
DropAggressive,6,t13d1516h2_5ee83efad333_732b2e5088ee,t13d1516h2,5ee83efad333,732b2e5088ee,True,True,True,15,15,6,True
DropAggressive,7,t13d1616h2_80b4664a28e5_29291c8d5386,t13d1616h2,80b4664a28e5,29291c8d5386,True,True,True,16,15,7,True
DropAggressive,8,t13d1513h2_54aec42756c5_0168ff5cef8e,t13d1513h2,54aec42756c5,0168ff5cef8e,True,True,True,15,13,7,True
DropAggressive,9,t13d1516h2_60c5bccb8f42_f8d31bfc6a5a,t13d1516h2,60c5bccb8f42,f8d31bfc6a5a,True,True,True,15,15,7,True
